state,year,population_2011,district_count,total_cases,cases_per_100k,total_cases_lag1,total_cases_lag2,total_cases_lag3,total_deaths_lag1,cases_per_100k_lag1,cases_per_100k_lag2,cases_per_100k_lag3,deaths_per_100k_lag1,cases_rate_roll3,cases_yoy_change,rate_yoy_change,next_year_cases,next_year_rate,high_risk_next_year,selected_region
Andaman And Nicobar Islands,2020,380581,9,301,79.089602476214,4839,6576,8955,0,1271.4770311707625,1727.884471374031,2352.981362705968,0.0,1784.1142884169203,-0.9377970655094028,-0.9377970655094028,4075,1070.7313292045583,1,no
Andaman And Nicobar Islands,2022,380581,9,4075,1070.7313292045583,301,4839,6576,1,79.089602476214,1271.4770311707625,1727.884471374031,0.26275615440602657,1026.150368340336,12.538205980066445,12.538205980066445,2846,747.8040154395517,1,no
Andhra Pradesh,2003,49577103,23,35995,72.60408096051921,38053,57735,80557,0,76.75519079846194,116.45496914170236,162.48831643107505,0.0,118.56615879041311,-0.05408246393188448,-0.05408246393188445,35427,71.45839078172841,0,no
Andhra Pradesh,2004,49577103,23,35427,71.45839078172841,35995,38053,57735,3,72.60408096051921,76.75519079846194,116.45496914170236,0.0060511805217824035,88.6047469668945,-0.015779969440200027,-0.015779969440200017,39099,78.86503574039007,0,no
Andhra Pradesh,2005,49577103,23,39099,78.86503574039007,35427,35995,38053,2,71.45839078172841,72.60408096051921,76.75519079846194,0.004034120347854936,73.60588751356985,0.10364975865865018,0.10364975865865013,30654,61.830962571572606,0,no
Andhra Pradesh,2006,49577103,21,30654,61.830962571572606,39099,35427,35995,0,78.86503574039007,71.45839078172841,72.60408096051921,0.0,74.30916916087922,-0.21599017877695081,-0.2159901787769508,27803,56.0803240157054,0,no
Andhra Pradesh,2007,49577103,23,27803,56.0803240157054,30654,39099,35427,0,61.830962571572606,78.86503574039007,71.45839078172841,0.0,70.71812969789703,-0.09300580674626475,-0.09300580674626466,21071,42.50147492482568,0,no
Andhra Pradesh,2008,49577103,19,21071,42.50147492482568,27803,30654,39099,2,56.0803240157054,61.830962571572606,78.86503574039007,0.004034120347854936,65.59210744255603,-0.242132144013236,-0.24213214401323607,25152,50.73309749462368,0,no
Andhra Pradesh,2009,49577103,23,25152,50.73309749462368,21071,27803,30654,0,42.50147492482568,56.0803240157054,61.830962571572606,0.0,53.47092050403456,0.1936785154952304,0.19367851549523046,30393,61.30450986617753,0,no
Andhra Pradesh,2010,49577103,19,30393,61.30450986617753,25152,21071,27803,3,50.73309749462368,42.50147492482568,56.0803240157054,0.0060511805217824035,49.77163214505159,0.20837309160305342,0.20837309160305334,34949,70.49423601859108,0,no
Andhra Pradesh,2011,49577103,23,34949,70.49423601859108,30393,25152,21071,20,61.30450986617753,50.73309749462368,42.50147492482568,0.040341203478549366,51.513027428542294,0.1499029381765538,0.1499029381765539,22516,45.41612687615087,0,no
Andhra Pradesh,2012,49577103,19,22516,45.41612687615087,34949,30393,25152,5,70.49423601859108,61.30450986617753,50.73309749462368,0.010085300869637341,60.84394779313076,-0.35574694554922887,-0.3557469455492289,18545,37.406380925484896,0,no
Andhra Pradesh,2013,49577103,21,18545,37.406380925484896,22516,34949,30393,2,45.41612687615087,70.49423601859108,61.30450986617753,0.004034120347854936,59.07162425363983,-0.17636347486232012,-0.17636347486232007,19060,38.44516691505754,0,no
Andhra Pradesh,2014,49577103,9,19060,38.44516691505754,18545,22516,34949,0,37.406380925484896,45.41612687615087,70.49423601859108,0.0,51.10558127340895,0.02777028848746293,0.0277702884874629,24131,48.673679057043735,0,no
Andhra Pradesh,2015,49577103,11,24131,48.673679057043735,19060,18545,22516,0,38.44516691505754,37.406380925484896,45.41612687615087,0.0,40.42255823889777,0.26605456453305354,0.2660545645330536,21119,42.5982938131742,0,no
Andhra Pradesh,2016,49577103,9,21119,42.5982938131742,24131,19060,18545,0,48.673679057043735,38.44516691505754,37.406380925484896,0.0,41.50840896586206,-0.1248186979404086,-0.12481869794040859,15955,32.18219507501275,0,no
Andhra Pradesh,2017,49577103,11,15955,32.18219507501275,21119,24131,19060,0,42.5982938131742,48.673679057043735,38.44516691505754,0.0,43.23904659509183,-0.2445191533690042,-0.24451915336900434,6079,12.26170879730508,0,no
Andhra Pradesh,2018,49577103,15,6079,12.26170879730508,15955,21119,24131,0,32.18219507501275,42.5982938131742,48.673679057043735,0.0,41.1513893150769,-0.6189909119398308,-0.6189909119398307,2790,5.627597885257636,0,no
