year,state,district,total_cases,total_deaths,population_2011,cases_per_100k,deaths_per_100k
2000,Bihar,Jehanabad,0,0,104099452,0.0,0.0
2000,Bihar,Kaimur (Bhabua),850,0,104099452,0.8165268727831536,0.0
2000,Bihar,Katihar,0,0,104099452,0.0,0.0
2000,Bihar,Khagaria,0,0,104099452,0.0,0.0
2000,Bihar,Kishanganj,0,0,104099452,0.0,0.0
2000,Bihar,Lakhisarai,3,0,104099452,0.0028818595509993656,0.0
2000,Bihar,Madhepura,0,0,104099452,0.0,0.0
2000,Bihar,Madhubani,0,0,104099452,0.0,0.0
2000,Bihar,Munger,21,0,104099452,0.020173016856995556,0.0
2000,Bihar,Muzaffarpur,86,0,104099452,0.08261330712864848,0.0
2000,Bihar,Nalanda,4,0,104099452,0.0038424794013324874,0.0
2000,Bihar,Nawada,2712,1,104099452,2.6052010341034264,0.0009606198503331219
2000,Bihar,Pashchim Champaran,4,0,104099452,0.0038424794013324874,0.0
2000,Bihar,Patna,263,1,104099452,0.252643020637611,0.0009606198503331219
2000,Bihar,Purbi Champaran,1,0,104099452,0.0009606198503331219,0.0
2000,Bihar,Purnia,7,0,104099452,0.006724338952331852,0.0
2000,Bihar,Rohtas,466,0,104099452,0.44764885025523476,0.0
2000,Bihar,Saharsa,0,0,104099452,0.0,0.0
2000,Bihar,Samastipur,9,0,104099452,0.008645578652998096,0.0
2000,Bihar,Saran,21,0,104099452,0.020173016856995556,0.0
2000,Bihar,Sheikhpura,0,0,104099452,0.0,0.0
2000,Bihar,Sheohar,0,0,104099452,0.0,0.0
2000,Bihar,Sitamarhi,1,0,104099452,0.0009606198503331219,0.0
2000,Bihar,Siwan,9,0,104099452,0.008645578652998096,0.0
2000,Bihar,Supaul,0,0,104099452,0.0,0.0
2000,Bihar,Vaishali,0,0,104099452,0.0,0.0
2000,Chandigarh,Chandigarh,256,0,1055450,24.255057084655835,0.0
2000,Chhattisgarh,Bastar,37883,18,25545198,148.29793059345243,0.07046334109447888
2000,Chhattisgarh,Bilaspur,14606,1,25545198,57.17708666810882,0.003914630060804383
2000,Chhattisgarh,Dantewada,20569,4,25545198,80.52002572068535,0.01565852024321753
2000,Chhattisgarh,Dhamtari,17327,0,25545198,67.82879506355755,0.0
2000,Chhattisgarh,Durg,8463,0,25545198,33.129514204587494,0.0
2000,Chhattisgarh,Janjgir-Champa,5303,7,25545198,20.75928321244564,0.02740241042563068
2000,Chhattisgarh,Jashpur,43047,0,25545198,168.51308022744627,0.0
2000,Chhattisgarh,Kabirdham,1432,0,25545198,5.605750247071876,0.0
2000,Chhattisgarh,Kanker,69931,7,25545198,273.7539947821113,0.02740241042563068
2000,Chhattisgarh,Korba,26210,9,25545198,102.60245389368286,0.03523167054723944
2000,Chhattisgarh,Korea,11035,3,25545198,43.197942720976364,0.011743890182413149
2000,Chhattisgarh,Mahasamund,10523,3,25545198,41.19365212984452,0.011743890182413149
2000,Chhattisgarh,Raigarh,28007,6,25545198,109.63704411294836,0.023487780364826297
2000,Chhattisgarh,Raipur,11415,3,25545198,44.68550214408203,0.011743890182413149
2000,Chhattisgarh,RajnandGaon,11765,0,25545198,46.055622665363565,0.0
2000,Chhattisgarh,Surguja,41639,2,25545198,163.0012811018337,0.007829260121608766
2000,D & N Haveli,Dadra And Nagar Haveli,2415,0,343709,702.6292590534434,0.0
2000,Daman & Diu,Daman,116,0,243247,47.688152371868924,0.0
2000,Daman & Diu,Diu,16,0,243247,6.5776761892232996,0.0
2000,Delhi,New Delhi,2631,0,16787941,15.671963583860583,0.0
2000,Goa,Goa,9164,11,1458545,628.2973785519131,0.7541762509898564
2000,Gujarat,Ahmadabad,910,0,60439692,1.5056330862837621,0.0
2000,Gujarat,Ahmadabad MC#,1075,2,60439692,1.7786324920385101,0.003309083706118158
2000,Gujarat,Amreli,746,0,60439692,1.234288222382073,0.0
2000,Gujarat,Banas kantha,513,0,60439692,0.8487799706193075,0.0
2000,Gujarat,Bharuch,1936,0,60439692,3.203193027522377,0.0
2000,Gujarat,Bhavnagar,519,0,60439692,0.8587072217376621,0.0
2000,Gujarat,Dang,368,0,60439692,0.6088714019257412,0.0
2000,Gujarat,Gandhinagar,480,0,60439692,0.7941800894683579,0.0
2000,Gujarat,Jamnagar,1119,0,60439692,1.8514323335731095,0.0
2000,Gujarat,Junagadh,2460,0,60439692,4.070172958525334,0.0
2000,Gujarat,Kachchh,2580,0,60439692,4.268717980892424,0.0
2000,Gujarat,Kheda,2671,0,60439692,4.4192812895208,0.0
2000,Gujarat,Mahesana,673,0,60439692,1.1135066671087601,0.0
2000,Gujarat,Panch Mahals,4330,0,60439692,7.164166223745812,0.0
2000,Gujarat,Rajkot,643,0,60439692,1.063870411516988,0.0
2000,Gujarat,Sabar kantha,839,0,60439692,1.3881606147165673,0.0
2000,Gujarat,Surat,9498,0,60439692,15.714838520355134,0.0
2000,Gujarat,Surendranagar,1395,0,60439692,2.3080858850174155,0.0
2000,Gujarat,Vadodara,3152,0,60439692,5.2151159208422175,0.0
2000,Gujarat,Valsad,805,0,60439692,1.3319061917125588,0.0
2000,Haryana,Ambala,29,0,25351462,0.11439182481862387,0.0
2000,Haryana,Bhiwani,45,0,25351462,0.17750455575303706,0.0
2000,Haryana,Faridabad,410,0,25351462,1.6172637301943376,0.0
2000,Haryana,Fatehabad,7,0,25351462,0.027611819783805763,0.0
2000,Haryana,Gurugram,93,0,25351462,0.3668427485562766,0.0
2000,Haryana,Hisar,15,0,25351462,0.05916818525101235,0.0
2000,Haryana,Jhajjar,68,0,25351462,0.268229106471256,0.0
2000,Haryana,Jind,12,0,25351462,0.04733454820080988,0.0
2000,Haryana,Kaithal,2,0,25351462,0.007889091366801647,0.0
2000,Haryana,Karnal,3,0,25351462,0.01183363705020247,0.0
2000,Haryana,Kurukshetra,1,0,25351462,0.003944545683400824,0.0
2000,Haryana,Mahendragarh,162,0,25351462,0.6390164007109334,0.0
2000,Haryana,Panchkula,44,0,25351462,0.17356001006963623,0.0
2000,Haryana,Panipat,3,0,25351462,0.01183363705020247,0.0
2000,Haryana,Rewari,57,0,25351462,0.2248391039538469,0.0
2000,Haryana,Rohtak,24,0,25351462,0.09466909640161976,0.0
2000,Haryana,Sirsa,3,0,25351462,0.01183363705020247,0.0
2000,Haryana,Sonipat,55,0,25351462,0.21695001258704527,0.0
2000,Haryana,Yamunanagar,17,0,25351462,0.067057276617814,0.0
2000,Himachal Pradesh,Bilaspur,29,0,6864602,0.42245712133055935,0.0
2000,Himachal Pradesh,Chamba,14,0,6864602,0.20394481719406313,0.0
2000,Himachal Pradesh,Hamirpur,33,0,6864602,0.48072706910029156,0.0
2000,Himachal Pradesh,Kangra,191,0,6864602,2.782390006004718,0.0
2000,Himachal Pradesh,Kullu,29,0,6864602,0.42245712133055935,0.0
2000,Himachal Pradesh,Mandi,74,0,6864602,1.0779940337400478,0.0
2000,Himachal Pradesh,Shimla,46,0,6864602,0.6701043993519217,0.0
2000,Himachal Pradesh,Sirmaur,29,0,6864602,0.42245712133055935,0.0
2000,Himachal Pradesh,Solan,18,0,6864602,0.2622147649637954,0.0
2000,Himachal Pradesh,Una,28,0,6864602,0.40788963438812625,0.0
2000,Jammu And Kashmir,Baramulla,5,0,12267032,0.040759655636343005,0.0
2000,Jammu And Kashmir,Doda,231,0,12267032,1.8830960903990468,0.0
2000,Jammu And Kashmir,Jammu,347,0,12267032,2.8287201011622045,0.0
2000,Jammu And Kashmir,Kargil,0,0,12267032,0.0,0.0
2000,Jammu And Kashmir,Kathua,84,0,12267032,0.6847622146905624,0.0
2000,Jammu And Kashmir,Leh Ladakh,0,0,12267032,0.0,0.0
2000,Jammu And Kashmir,Poonch,477,0,12267032,3.8884711477071225,0.0
2000,Jammu And Kashmir,Rajouri,1748,0,12267032,14.249575610465515,0.0
2000,Jammu And Kashmir,Udhampur,153,0,12267032,1.247245462472096,0.0
2000,Jharkhand,Bokaro,3751,0,32988134,11.37075531462313,0.0
2000,Jharkhand,Chatra,2497,0,32988134,7.569388435247657,0.0
2000,Jharkhand,Deoghar,194,0,32988134,0.5880902508762696,0.0
2000,Jharkhand,Dhanbad,2283,0,32988134,6.920670323456307,0.0
2000,Jharkhand,Dumka,3880,0,32988134,11.761805017525392,0.0
2000,Jharkhand,East Singhbum,9149,1,32988134,27.734214975603045,0.003031393045753967
2000,Jharkhand,Garhwa,12760,0,32988134,38.68057526382062,0.0
2000,Jharkhand,Giridih,4690,0,32988134,14.217233384586107,0.0
2000,Jharkhand,Godda,1531,0,32988134,4.641062753049324,0.0
2000,Jharkhand,Gumla,26000,2,32988134,78.81621918960315,0.006062786091507934
2000,Jharkhand,Hazaribagh,9490,0,32988134,28.76792000420515,0.0
2000,Jharkhand,Koderma,586,0,32988134,1.7763963248118249,0.0
2000,Jharkhand,Lohardaga,4167,2,32988134,12.63181482165678,0.006062786091507934
2000,Jharkhand,Pakur,984,0,32988134,2.9828907570219036,0.0
2000,Jharkhand,Palamu,37414,11,32988134,113.41653941383893,0.03334532350329364
2000,Jharkhand,Ranchi,6327,0,32988134,19.17962380048535,0.0
2000,Jharkhand,Sahebganj,2261,0,32988134,6.853979676449719,0.0
2000,Jharkhand,West Singhbhum,5489,0,32988134,16.639316428143523,0.0
2000,Karnataka,A.M.U. Almatti#,1782,0,61095297,2.91675478719745,0.0
2000,Karnataka,A.M.U. B. Gudi#,123,0,61095297,0.20132482537894855,0.0
2000,Karnataka,A.M.U. Kembhavi#,440,0,61095297,0.7201863672092469,0.0
2000,Karnataka,Bagalkote,5182,0,61095297,8.481831261087086,0.0
2000,Karnataka,Ballari,4192,0,61095297,6.861411934866279,0.0
2000,Karnataka,Belagavi,2689,1,61095297,4.40132077596742,0.0016367871982028337
2000,Karnataka,Bengaluru Rural,426,0,61095297,0.6972713464344072,0.0
2000,Karnataka,Bengaluru Urban,278,1,61095297,0.45502684110038777,0.0016367871982028337
2000,Karnataka,Bidar,1431,0,61095297,2.342242480628255,0.0
2000,Karnataka,Chamarajanagara,65,0,61095297,0.10639116788318419,0.0
2000,Karnataka,Chikkamagaluru,3680,1,61095297,6.023376889386428,0.0016367871982028337
2000,Karnataka,Chitradurga,18240,2,61095297,29.85499849521969,0.0032735743964056674
2000,Karnataka,Dakshina Kannada,2653,0,61095297,4.342396436832118,0.0
2000,Karnataka,Davangere,96,0,61095297,0.15713157102747205,0.0
2000,Karnataka,Dharwad,206,1,61095297,0.3371781628297838,0.0016367871982028337
2000,Karnataka,Gadag,337,0,61095297,0.551597285794355,0.0
2000,Karnataka,Hassan,3230,0,61095297,5.286822650195154,0.0
2000,Karnataka,Haveri,122,0,61095297,0.1996880381807457,0.0
2000,Karnataka,Kalaburagi,7535,0,61095297,12.333191538458353,0.0
2000,Karnataka,Kodagu,48,0,61095297,0.07856578551373603,0.0
2000,Karnataka,Kolar,4144,0,61095297,6.782846149352543,0.0
2000,Karnataka,Koppal,4557,0,61095297,7.458839262210313,0.0
2000,Karnataka,Mandya,8517,2,61095297,13.940516567093535,0.0032735743964056674
2000,Karnataka,Mysuru,2377,1,61095297,3.8906431701281363,0.0016367871982028337
2000,Karnataka,Raichur,12194,0,61095297,19.958983094885355,0.0
2000,Karnataka,Shivamogga,233,1,61095297,0.38137141718126033,0.0016367871982028337
2000,Karnataka,Tumakuru,14296,2,61095297,23.39950978550771,0.0032735743964056674
2000,Karnataka,U.K.P.N. PURA#,2954,0,61095297,4.835069383491171,0.0
2000,Karnataka,Udupi,1186,1,61095297,1.9412296170685608,0.0016367871982028337
2000,Karnataka,Uttara Kannada,131,0,61095297,0.21441912296457122,0.0
2000,Karnataka,Vijayapura,5774,1,61095297,9.450809282423164,0.0016367871982028337
2000,Kerala,Alappuzha,342,1,33406061,1.023766315938895,0.0029934687600552488
2000,Kerala,Ernakulam,118,1,33406061,0.35322931368651933,0.0029934687600552488
2000,Kerala,Idukki,29,0,33406061,0.08681059404160221,0.0
2000,Kerala,Kannur,255,1,33406061,0.7633345338140883,0.0029934687600552488
2000,Kerala,Kasaragod,366,1,33406061,1.095609566180221,0.0029934687600552488
2000,Kerala,Kollam,315,0,33406061,0.9429426594174033,0.0
2000,Kerala,Kottayam,61,1,33406061,0.18260159436337017,0.0029934687600552488
2000,Kerala,Kozhikode,255,0,33406061,0.7633345338140883,0.0
2000,Kerala,Malappuram,335,2,33406061,1.0028120346185083,0.0059869375201104975
2000,Kerala,Palakkad,121,0,33406061,0.3622097199666851,0.0
