year,state,total_cases,total_deaths,district_count,population_2011,cases_per_100k,deaths_per_100k,selected_region
2002,Arunachal Pradesh,46431,0,12,1383727,3355.502927961946,0.0,no
2002,Assam,89601,72,23,31205576,287.1313767770221,0.2307279955351569,no
2002,Bihar,3683,2,37,104099452,3.537962908776888,0.0019212397006662437,no
2002,Chandigarh,157,0,1,1055450,14.875171727699087,0.0,no
2002,Chhattisgarh,235434,3,16,25545198,921.637013735419,0.011743890182413149,no
2002,D & N Haveli,493,0,1,343709,143.43528973637584,0.0,no
2002,Daman & Diu,173,0,2,243247,71.12112379597693,0.0,no
2002,Delhi,694,0,1,16787941,4.13391969866942,0.0,no
2002,Goa,16818,15,1,1458545,1153.0669262861277,1.028422160440713,no
2002,Gujarat,82966,17,26,60439692,137.27071938089958,0.028127211502004347,no
2002,Haryana,936,0,19,25351462,3.692094759663171,0.0,no
2002,Himachal Pradesh,176,0,10,6864602,2.563877701868222,0.0,no
2002,Jammu And Kashmir,455,0,10,12267032,3.7091286629072138,0.0,no
2002,Jharkhand,126589,31,22,32988134,383.74101426894896,0.09397318441837298,no
2002,Karnataka,132584,33,31,61095297,217.01179388652452,0.054013977540693515,no
2002,Kerala,3360,8,14,33406061,10.058055033785635,0.02394775008044199,no
2002,Lakshadweep,8,0,1,64473,12.408294945170846,0.0,no
2002,Madhya Pradesh,108818,30,45,72626809,149.83172398500946,0.041307060592459734,no
2002,Maharashtra,45568,43,36,112374333,40.550185067616816,0.038264965719529566,no
2002,Manipur,1268,9,10,2855794,44.40096169401575,0.3151487817398594,no
2002,Meghalaya,17918,41,3,2966889,603.9322670986343,1.3819189056280838,no
2002,Mizoram,7859,35,9,1097206,716.2738811125713,3.1899205800916146,yes
2002,Nagaland,3945,0,9,1978502,199.39327834897313,0.0,no
2002,Odisha,473223,465,30,41974218,1127.4134994009896,1.1078229021443593,yes
2002,Puducherry,103,0,4,1247953,8.253515957732382,0.0,no
2002,Punjab,250,0,17,27743338,0.9011172339824429,0.0,no
2002,Rajasthan,68627,11,32,68548437,100.11460946950548,0.016047047141279094,no
2002,Sikkim,53,0,4,610577,8.680313867047072,0.0,no
2002,Tamil Nadu,34523,0,43,72147030,47.85089559473204,0.0,no
2002,Tripura,13319,5,4,3673917,362.5286036674209,0.13609452799287516,yes
2002,Uttar Pradesh,89950,0,69,199812341,45.01723945069038,0.0,no
2002,Uttarakhand,2020,0,15,10086292,20.02718144586732,0.0,no
2002,West Bengal,193943,149,32,91276115,212.4794640963849,0.16324095301383063,no
2003,Andaman And Nicobar Islands,427,0,1,380581,112.19687793137334,0.0,no
2003,Andhra Pradesh,35995,3,23,49577103,72.60408096051921,0.0060511805217824035,no
2003,Arunachal Pradesh,34810,0,12,1383727,2515.6696371466337,0.0,no
2003,Assam,76570,53,23,31205576,245.37281414065228,0.16984144115782385,no
2003,Bihar,2652,1,37,104099452,2.5475638430834393,0.0009606198503331219,no
2003,Chandigarh,84,0,1,1055450,7.958690605902695,0.0,no
2003,Chhattisgarh,194419,4,16,25545198,761.0784617915274,0.01565852024321753,no
2003,D & N Haveli,468,0,1,343709,136.161694922158,0.0,no
2003,Daman & Diu,141,0,2,243247,57.965771417530334,0.0,no
2003,Delhi,839,0,1,16787941,4.997634909486518,0.0,no
2003,Goa,11370,1,2,1458545,779.5439976140606,0.06856147736271422,no
2003,Gujarat,130744,65,26,60439692,216.32142003635622,0.10754522044884014,no
2003,Haryana,4374,0,19,25351462,17.2534428191952,0.0,no
2003,Himachal Pradesh,133,0,10,6864602,1.9374757633435993,0.0,no
2003,Jammu And Kashmir,320,0,10,12267032,2.6086179607259523,0.0,no
2003,Jharkhand,118902,13,22,32988134,360.4386959262382,0.03940810959480157,no
2003,Karnataka,100220,22,31,61095297,164.038813003888,0.036009318360462346,no
2003,Kerala,2575,7,14,33406061,7.708182057142265,0.02095428132038674,no
2003,Lakshadweep,6,0,1,64473,9.306221208878135,0.0,no
2003,Madhya Pradesh,99708,22,45,72626809,137.28814658509918,0.03029184443447047,no
2003,Maharashtra,62947,85,36,112374333,56.01546039877273,0.07564004851534914,no
2003,Manipur,2589,17,10,2855794,90.6577995471662,0.5952810321752899,no
2003,Meghalaya,18366,38,3,2966889,619.0322590430583,1.2808028881431022,no
2003,Mizoram,7293,48,9,1097206,664.6883083030898,4.374748224125643,yes
2003,Nagaland,3370,0,9,1978502,170.33088670115066,0.0,no
2003,Odisha,421323,333,30,41974218,1003.766169032619,0.7933441428259603,yes
2003,Puducherry,63,0,4,1247953,5.048267042108156,0.0,no
2003,Punjab,379,1,17,27743338,1.3660937267173836,0.0036044689359297716,no
2003,Rajasthan,142738,66,32,68548437,208.22940135017228,0.09628228284767457,no
2003,Sikkim,278,0,4,610577,45.53070292526577,0.0,no
2003,Tamil Nadu,43604,0,43,72147030,60.437692306945976,0.0,no
2003,Tripura,13807,13,4,3673917,375.8114295995255,0.3538457727814755,yes
2003,Uttar Pradesh,101188,0,69,199812341,50.64151668189504,0.0,no
2003,Uttarakhand,2650,0,15,10086292,26.273282589875446,0.0,no
2003,West Bengal,233725,214,34,91276115,256.0637029742118,0.23445344929503187,no
2004,Andaman And Nicobar Islands,1800,4,4,380581,472.96107793084786,1.0510246176241063,no
2004,Andhra Pradesh,35427,2,23,49577103,71.45839078172841,0.004034120347854936,no
2004,Arunachal Pradesh,29849,0,12,1383727,2157.14515941367,0.0,no
2004,Assam,58134,54,23,31205576,186.29362906167796,0.1730459966513677,no
2004,Bihar,1872,0,38,104099452,1.7982803598236041,0.0,no
2004,Chandigarh,199,0,1,1055450,18.854517030650435,0.0,no
2004,Chhattisgarh,194256,4,16,25545198,760.4403770916161,0.01565852024321753,no
2004,D & N Haveli,787,0,1,343709,228.97276475157764,0.0,no
2004,Daman & Diu,118,0,2,243247,48.51036189552184,0.0,no
2004,Delhi,1316,0,1,16787941,7.838960120243453,0.0,no
2004,Goa,7839,7,2,1458545,537.4534210463167,0.47993034153899944,no
2004,Gujarat,222759,89,26,60439692,368.5640886455874,0.14725422492225804,no
2004,Haryana,10064,0,19,25351462,39.69790775774588,0.0,no
2004,Himachal Pradesh,126,0,10,6864602,1.8355033547465682,0.0,no
2004,Jammu And Kashmir,250,0,10,12267032,2.0379827818171505,0.0,no
2004,Jharkhand,143722,40,22,32988134,435.6778713218517,0.12125572183015867,no
2004,Karnataka,80961,27,31,61095297,132.51592835369965,0.044193254351476516,no
2004,Kerala,2790,12,14,33406061,8.351777840554144,0.035921625120662985,no
2004,Lakshadweep,2,0,1,64473,3.1020737362927115,0.0,no
2004,Madhya Pradesh,132094,36,45,72626809,181.8804953966792,0.04956847271095169,no
2004,Maharashtra,68988,61,36,112374333,61.39124314090478,0.05428285834630938,no
2004,Manipur,2736,8,10,2855794,95.80522964891726,0.28013225043543055,no
2004,Meghalaya,18080,29,5,2966889,609.3925320428233,0.9774548356881568,no
2004,Mizoram,7830,72,9,1097206,713.6308040604954,6.562122336188464,yes
2004,Nagaland,2486,1,12,1978502,125.65061849823755,0.0505432898222999,no
2004,Odisha,416732,283,30,41974218,992.8285024869314,0.6742234006599004,yes
2004,Puducherry,43,0,4,1247953,3.4456425842960434,0.0,no
2004,Punjab,1643,0,17,27743338,5.922142461732615,0.0,no
2004,Rajasthan,105022,20,32,68548437,153.20845317012845,0.02917644934778017,no
2004,Sikkim,160,3,4,610577,26.20472110806663,0.49133852077624934,no
2004,Tamil Nadu,41732,0,42,72147030,57.842990903437055,0.0,no
2004,Tripura,17453,16,4,3673917,475.0515594119301,0.43550248957720056,yes
2004,Uttar Pradesh,86860,0,69,199812341,43.470788423423755,0.0,no
2004,Uttarakhand,1824,2,15,10086292,18.083949978842572,0.019828892520660713,no
2004,West Bengal,220129,179,32,91276115,241.16823990591624,0.19610825898976966,no
2005,Andaman And Nicobar Islands,3234,0,1,380581,849.7534033490898,0.0,no
2005,Andhra Pradesh,39099,0,23,49577103,78.86503574039007,0.0,no
2005,Arunachal Pradesh,31215,0,12,1383727,2255.864054108939,0.0,no
2005,Assam,67885,113,23,31205576,217.541249679224,0.3621147707704546,no
2005,Bihar,2733,1,38,104099452,2.625374050960422,0.0009606198503331219,no
2005,Chandigarh,432,0,1,1055450,40.93040883035672,0.0,no
2005,Chhattisgarh,187950,3,16,25545198,735.7547199281837,0.011743890182413149,no
2005,D & N Haveli,1166,0,1,343709,339.24046213512014,0.0,no
2005,Daman & Diu,104,0,2,243247,42.75489522995145,0.0,no
